title,park,date,rating,cc,location.latitude,location.longitude,datayear,day,address,community,geocode_address,datamonth
Lego Movie,Austin-Foster Playlot Park,2014-08-08T03:00:00Z,PG,No,41.9759407,-87.77890778,2014,Fri,"6020 W Foster Ave Chicago, IL 60630",JEFFERSON PARK,"6020 W Foster Ave Chicago, IL 60630",08
The Smurfs 2,Brooks Park,2014-07-19T03:00:00Z,PG,No,42.01028061,-87.8066864,2014,Sat,"7100 N Harlem Ave Chicago, IL 60631",EDISON PARK,"7100 N Harlem Ave Chicago, IL 60631",07
Delivery Man,Dunham Park,2014-06-14T04:00:00Z,PG-13,No,41.96598053,-87.78197479,2014,Sat,4638 N. Melvina Ave. Chicago IL 60630,PORTAGE PARK,4638 N. Melvina Ave. Chicago IL 60630,06
A League of Their Own,Edgebrook Park,2014-06-08T02:45:00Z,PG,No,41.99946594,-87.76202393,2014,Sun,6525 N. Hiawatha Ave. Chicago IL 60646,FOREST GLEN,6525 N. Hiawatha Ave. Chicago IL 60646,06
Lego Movie,Olympia Park,2014-06-21T03:00:00Z,PG,No,41.99970245,-87.81498718,2014,Sat,6566 N. Avondale Ave. Chicago IL 60631,EDISON PARK,6566 N. Avondale Ave. Chicago IL 60631,06
Lego Movie,Portage Park,2014-08-21T03:00:00Z,PG,No,41.95508957,-87.76216125,2014,Thu,"4100 N Long Ave Chicago, IL 60641",PORTAGE PARK,"4100 N Long Ave Chicago, IL 60641",08
Frozen,Portage Park,2014-07-10T03:00:00Z,PG,No,41.95508957,-87.76216125,2014,Thu,"4100 N Long Ave Chicago, IL 60641",PORTAGE PARK,"4100 N Long Ave Chicago, IL 60641",07
Monsters University,Portage Park,2014-06-26T03:00:00Z,G,No,41.95508957,-87.76216125,2014,Thu,"4100 N Long Ave Chicago, IL 60641",PORTAGE PARK,"4100 N Long Ave Chicago, IL 60641",06
The Nut Job,Roberts Square Playlot Park,2014-08-16T03:00:00Z,PG,No,41.97188187,-87.75899506,2014,Sat,5200 W. Argyle St. Chicago IL 60630,JEFFERSON PARK,5200 W. Argyle St. Chicago IL 60630,08
Free Birds,Wildwood Park,2014-07-11T03:00:00Z,PG,Yes,42.00686264,-87.7776947,2014,Fri,6950 N. Hiawatha Ave. Chicago IL 60646,FOREST GLEN,6950 N. Hiawatha Ave. Chicago IL 60646,07
Hairspray,Bell Park,2014-08-22T03:15:00Z,PG,No,41.93524551,-87.79602051,2014,Fri,"3020 N Oak Park Ave Chicago, IL 60634",MONTCLARE,"3020 N Oak Park Ave Chicago, IL 60634",08
The Wizard of Oz,Chase Park,2014-06-26T03:30:00Z,G,No,41.96714783,-87.66930389,2014,Thu,4701 N. Ashland Ave. Chicago IL 60640,UPTOWN,4701 N. Ashland Ave. Chicago IL 60640,06
The Muppet Movie,Gompers Park,2014-07-17T03:30:00Z,G,No,41.97549438,-87.73486328,2014,Thu,4222 W. Foster Ave. Chicago IL 60630,NORTH PARK,4222 W. Foster Ave. Chicago IL 60630,07
Annie,Pottawattomie Park,2014-07-24T03:30:00Z,NR,No,42.01446533,-87.6785965,2014,Thu,7340 N. Rogers Ave. Chicago IL 60626,ROGERS PARK,7340 N. Rogers Ave. Chicago IL 60626,07
The Muppet Movie,Touhy Park,2014-07-31T03:00:00Z,G,No,42.0148735,-87.67243958,2014,Thu,7348 N. Paulina St. Chicago IL 60626,ROGERS PARK,7348 N. Paulina St. Chicago IL 60626,07
Willy Wonka and the Chocolate Factory,Trebes Park,2014-08-28T03:00:00Z,G,No,41.92298889,-87.65727234,2014,Thu,2250 N. Clifton Ave. Chicago IL 60614,LINCOLN PARK,2250 N. Clifton Ave. Chicago IL 60614,08
Brave,Athletic Field Park,2014-08-30T03:30:00Z,PG,No,41.94668198,-87.71703339,2014,Sat,"3546 W Addison St Chicago, IL 60618",IRVING PARK,"3546 W Addison St Chicago, IL 60618",08
The Perfect Game,Athletic Field Park,2014-07-26T03:30:00Z,PG,No,41.94668198,-87.71703339,2014,Sat,"3546 W Addison St Chicago, IL 60618",IRVING PARK,"3546 W Addison St Chicago, IL 60618",07
Newsies,Athletic Field Park,2014-06-28T03:30:00Z,PG,No,41.94668198,-87.71703339,2014,Sat,"3546 W Addison St Chicago, IL 60618",IRVING PARK,"3546 W Addison St Chicago, IL 60618",06
Saving Mr. Banks,Calumet Park,2014-07-08T03:00:00Z,PG-13,No,41.71755765,-87.53148079,2014,Tue,"9801 S Avenue G Chicago, IL 60617",EAST SIDE,"9801 S Avenue G Chicago, IL 60617",07
Ironman 3,Chopin Park,2014-09-14T02:45:00Z,PG-13,No,41.94267654,-87.76173401,2014,Sun,3420 N. Long Ave. Chicago IL 60641,PORTAGE PARK,3420 N. Long Ave. Chicago IL 60641,09
Gremlins,Chopin Park,2014-06-15T03:00:00Z,PG,No,41.94267654,-87.76173401,2014,Sun,3420 N. Long Ave. Chicago IL 60641,PORTAGE PARK,3420 N. Long Ave. Chicago IL 60641,06
"It's a Mad, Mad, Mad, Mad World",Gage Park,2014-06-10T03:00:00Z,G,No,41.79384995,-87.68441772,2014,Tue,2411 W. 55th St. Chicago IL 60629,GAGE PARK,2411 W. 55th St. Chicago IL 60629,06
The Wizard of Oz,Gladstone Park,2014-07-31T03:00:00Z,G,No,41.97917175,-87.77305603,2014,Thu,5421 N. Menard Ave. Chicago IL 60630,JEFFERSON PARK,5421 N. Menard Ave. Chicago IL 60630,07
Gravity,Hamilton Park,2014-06-20T03:00:00Z,PG-13,No,41.76344299,-87.63769531,2014,Fri,513 W. 72nd St. Chicago IL 60621,ENGLEWOOD,513 W. 72nd St. Chicago IL 60621,06
Lego Movie,Independence Park,2014-08-09T03:00:00Z,PG,No,41.95268631,-87.72504425,2014,Sat,3945 N. Springfield Ave. Chicago IL 60618,IRVING PARK,3945 N. Springfield Ave. Chicago IL 60618,08
Avengers,Independence Park,2014-07-12T03:30:00Z,PG-13,No,41.95268631,-87.72504425,2014,Sat,3945 N. Springfield Ave. Chicago IL 60618,IRVING PARK,3945 N. Springfield Ave. Chicago IL 60618,07
Frozen,Independence Park,2014-06-14T03:30:00Z,PG,No,41.95268631,-87.72504425,2014,Sat,3945 N. Springfield Ave. Chicago IL 60618,IRVING PARK,3945 N. Springfield Ave. Chicago IL 60618,06
The Blues Brothers,Jefferson Memorial Park,2014-08-09T03:00:00Z,R,No,41.96814728,-87.76294708,2014,Sat,4822 N. Long Ave. Chicago IL 60630,JEFFERSON PARK,4822 N. Long Ave. Chicago IL 60630,08
Frozen,Jefferson Memorial Park,2014-07-12T03:00:00Z,PG,No,41.96814728,-87.76294708,2014,Sat,4822 N. Long Ave. Chicago IL 60630,JEFFERSON PARK,4822 N. Long Ave. Chicago IL 60630,07
Monsters University,Jefferson Memorial Park,2014-06-13T03:00:00Z,PG,No,41.96814728,-87.76294708,2014,Fri,4822 N. Long Ave. Chicago IL 60630,JEFFERSON PARK,4822 N. Long Ave. Chicago IL 60630,06
The Lego Movie,Mayfair Park,2014-08-24T03:00:00Z,PG,No,41.96262741,-87.74201202,2014,Sun,4550 W. Sunnyside Ave. Chicago IL 60630,IRVING PARK,4550 W. Sunnyside Ave. Chicago IL 60630,08
The Nut Job,Mayfair Park,2014-07-12T03:00:00Z,PG,No,41.96262741,-87.74201202,2014,Sat,4550 W. Sunnyside Ave. Chicago IL 60630,IRVING PARK,4550 W. Sunnyside Ave. Chicago IL 60630,07
Despicable Me 2,Merrimac Park,2014-08-07T03:00:00Z,PG,No,41.95264435,-87.78518677,2014,Thu,6343 W. Irving Park Rd. Chicago IL 60634,DUNNING,6343 W. Irving Park Rd. Chicago IL 60634,08
Free Birds,Norwood Park,2014-08-16T03:00:00Z,PG,No,41.98659134,-87.79413605,2014,Sat,5801 N. Natoma Ave. Chicago IL 60631,NORWOOD PARK,5801 N. Natoma Ave. Chicago IL 60631,08
Gravity,O'Hallaren Park,2014-07-11T03:00:00Z,PG-13,No,41.74268341,-87.66927338,2014,Fri,8335 S. Honore St. Chicago IL 60620,AUBURN GRESHAM,8335 S. Honore St. Chicago IL 60620,07
Despicable Me 2,Oriole Park,2014-06-29T03:00:00Z,PG,No,41.97828293,-87.81445313,2014,Sun,5430 N. Olcott Ave. Chicago IL 60656,NORWOOD PARK,5430 N. Olcott Ave. Chicago IL 60656,06
Superman,Owens Park,2014-07-31T03:00:00Z,PG,No,41.73525238,-87.57568359,2014,Thu,"8800 S. Clyde Ave. Chicago, IL 60617",CALUMET HEIGHTS,"8800 S. Clyde Ave. Chicago, IL 60617",07
The Family That Preys,Palmer Park,2014-07-18T03:00:00Z,PG-13,No,41.69263077,-87.61819458,2014,Fri,"201 E 111th St Chicago, IL 60628",ROSELAND,"201 E 111th St Chicago, IL 60628",07
E.T. The Extra-Terrestrial,Portage Park,2014-07-31T03:00:00Z,PG,No,41.95508957,-87.76216125,2014,Thu,"4100 N Long Ave Chicago, IL 60641",PORTAGE PARK,"4100 N Long Ave Chicago, IL 60641",07
The Nut Job,Russell Square Park,2014-07-29T03:00:00Z,PG,No,41.74466705,-87.54989624,2014,Tue,3045 E. 83rd St. Chicago IL 60617,SOUTH CHICAGO,3045 E. 83rd St. Chicago IL 60617,07
The Lego Movie,West Lawn Park,2014-08-06T03:00:00Z,PG,No,41.77493286,-87.72831726,2014,Wed,4233 W. 65th St. Chicago IL 60629,WEST LAWN,4233 W. 65th St. Chicago IL 60629,08
To Kill a Mockingbird,Wilson Frank J. Park,2014-06-28T03:00:00Z,NR,No,41.9646492,-87.75836182,2014,Sat,4630 N. Milwaukee Ave. Chicago IL 60630,PORTAGE PARK,4630 N. Milwaukee Ave. Chicago IL 60630,06
The Lego Movie,Wolfe Playground Park,2014-06-17T03:00:00Z,PG,No,41.69897461,-87.54348755,2014,Tue,3325 E. 108th St. Chicago IL 60617,EAST SIDE,3325 E. 108th St. Chicago IL 60617,06
42,Ada Park,2014-08-03T03:08:00Z,PG-13,Yes,41.68910599,-87.65565491,2014,Sun,"11250 S Ada St Chicago, IL 60643",MORGAN PARK,"11250 S Ada St Chicago, IL 60643",08
Drumline,Altgeld Park,2014-07-26T03:29:00Z,PG-13,Yes,41.87475204,-87.69367981,2014,Sat,515 S. Washtenaw Ave. Chicago IL 60612,EAST GARFIELD PARK,515 S. Washtenaw Ave. Chicago IL 60612,07
Ride Along,Amundsen Park,2014-07-23T03:10:00Z,PG-13,Yes,41.91294479,-87.780159,2014,Wed,"6200 W Bloomingdale Ave Chicago, IL 60639",AUSTIN,"6200 W Bloomingdale Ave Chicago, IL 60639",07
Singin' in the Rain,Armour Square Park,2014-07-18T03:13:00Z,NR,Yes,41.83438492,-87.63520813,2014,Fri,"3309 S Shields Ave Chicago, IL 60616",ARMOUR SQUARE,"3309 S Shields Ave Chicago, IL 60616",07
Willy Wonka & the Chocolate Factory,Armour Square Park,2014-06-29T03:38:00Z,G,Yes,41.83438492,-87.63520813,2014,Sun,"3309 S Shields Ave Chicago, IL 60616",ARMOUR SQUARE,"3309 S Shields Ave Chicago, IL 60616",06
Back to the Future,Arrigo Park,2014-08-22T02:56:00Z,PG,Yes,41.87156296,-87.66168976,2014,Fri,"801 S Loomis St Chicago, IL 60607",NEAR WEST SIDE,"801 S Loomis St Chicago, IL 60607",08
Man of Steel,Augusta Park,2014-08-08T03:28:00Z,PG-13,Yes,41.89883423,-87.73683929,2014,Fri,"4433 W Augusta Blvd Chicago, IL 60651",HUMBOLDT PARK,"4433 W Augusta Blvd Chicago, IL 60651",08
42,Burnside Park,2014-08-28T03:08:00Z,PG-13,Yes,41.72403336,-87.59728241,2014,Thu,9400 S. Greenwood Ave. Chicago IL 60619,BURNSIDE,9400 S. Greenwood Ave. Chicago IL 60619,08
The Help,Austin Town Hall Park,2014-07-28T03:56:00Z,PG-13,Yes,41.88805771,-87.76578522,2014,Mon,"5610 W Lake St Chicago, IL 60644",AUSTIN,"5610 W Lake St Chicago, IL 60644",07
42,Avalon Park,2014-07-26T03:38:00Z,PG-13,Yes,41.7440567,-87.59574127,2014,Sat,"1215 E 83rd St Chicago, IL 60619",AVALON PARK,"1215 E 83rd St Chicago, IL 60619",07
Rudy,Avondale Park,2014-07-13T03:26:00Z,PG,Yes,41.94095993,-87.71347809,2014,Sun,"3516 W School St Chicago, IL 60618",AVONDALE,"3516 W School St Chicago, IL 60618",07
Star Trek: Into Darkness,"Bartelme, Mary Park",2014-07-25T03:09:00Z,PG-13,Yes,41.88024521,-87.65080261,2014,Fri,"115 S Sangamon St Chicago, IL 60607",NEAR WEST SIDE,"115 S Sangamon St Chicago, IL 60607",07
Dirty Dancing,"Bartelme, Mary Park",2014-06-26T03:37:00Z,PG-13,Yes,41.88024521,-87.65080261,2014,Thu,"115 S Sangamon St Chicago, IL 60607",NEAR WEST SIDE,"115 S Sangamon St Chicago, IL 60607",06
The Smurfs 2,Bell Park,2014-06-20T03:45:00Z,PG,Yes,41.93524551,-87.79602051,2014,Fri,"3020 N Oak Park Ave Chicago, IL 60634",MONTCLARE,"3020 N Oak Park Ave Chicago, IL 60634",06
The Bachelor and the Bobby Soxer,Lincoln Park,2014-07-29T03:05:00Z,NR,Yes,41.928495,-87.636008,2014,Tue,2045 N Lincoln Park West Chicago IL 60614,LINCOLN PARK,2045 N Lincoln Park West Chicago IL 60614,07
Strangers on a Train,Lincoln Park,2014-06-17T03:41:00Z,PG,Yes,41.928495,-87.636008,2014,Tue,2045 N Lincoln Park West Chicago IL 60614,LINCOLN PARK,2045 N Lincoln Park West Chicago IL 60614,06
The Thin Man,Berger Park Cultural Center,2014-08-18T02:33:00Z,NR,No,41.99475861,-87.65554047,2014,Mon,"6205 N Sheridan Rd Chicago, IL 60660",EDGEWATER,"6205 N Sheridan Rd Chicago, IL 60660",08
Fireproof ,Beverly Park,2014-07-17T03:32:00Z,PG,Yes,41.70822525,-87.68319702,2014,Thu,"2460 W 102nd St Chicago, IL 60655",BEVERLY,"2460 W 102nd St Chicago, IL 60655",07
Instructions Not Included,Blackhawk Park,2014-08-20T03:40:00Z,PG-13,Yes,41.92288589,-87.75176239,2014,Wed,"2318 N Lavergne Ave Chicago, IL 60639",BELMONT CRAGIN,"2318 N Lavergne Ave Chicago, IL 60639",08
Mandela: Long Walk to Freedom,Brainerd Park,2014-07-13T03:56:00Z,PG-13,Yes,41.72680283,-87.65419769,2014,Sun,"1246 W 92nd St Chicago, IL 60620",WASHINGTON HEIGHTS,"1246 W 92nd St Chicago, IL 60620",07
Justin Bieber: Never Say Never,Brands Park,2014-07-31T03:15:00Z,G,Yes,41.94041824,-87.6997757,2014,Thu,"3259 N Elston Ave Chicago, IL 60618",AVONDALE,"3259 N Elston Ave Chicago, IL 60618",07
The Smurfs 2,Brooks Park,2014-07-19T03:15:00Z,PG,Yes,42.01028061,-87.8066864,2014,Sat,"7100 N Harlem Ave Chicago, IL 60631",EDISON PARK,"7100 N Harlem Ave Chicago, IL 60631",07
Beasts of the Southern Wild,Buttercup Playlot Park,2014-06-25T03:34:00Z,PG-13,Yes,41.97158432,-87.65485382,2014,Wed,"4901 N Sheridan Rd Chicago, IL 60640",UPTOWN,"4901 N Sheridan Rd Chicago, IL 60640",06
The Muppet Movie,Calumet Park,2014-08-19T02:38:00Z,G,Yes,41.71755765,-87.53148079,2014,Tue,"9801 S Avenue G Chicago, IL 60617",EAST SIDE,"9801 S Avenue G Chicago, IL 60617",08
Jumanji,Calumet Park,2014-08-04T02:45:00Z,PG,Yes,41.71755765,-87.53148079,2014,Mon,"9801 S Avenue G Chicago, IL 60617",EAST SIDE,"9801 S Avenue G Chicago, IL 60617",08
Buck and the Preacher,Calumet Park,2014-07-22T03:12:00Z,PG,Yes,41.71755765,-87.53148079,2014,Tue,"9801 S Avenue G Chicago, IL 60617",EAST SIDE,"9801 S Avenue G Chicago, IL 60617",07
Latino Film Festival Selection,Calumet Park,2014-07-17T03:00:00Z,NR,No,41.71755765,-87.53148079,2014,Thu,"9801 S Avenue G Chicago, IL 60617",EAST SIDE,"9801 S Avenue G Chicago, IL 60617",07
Ghostbusters,Chase Park,2014-06-21T03:47:00Z,PG,Yes,41.96714783,-87.66930389,2014,Sat,4701 N. Ashland Ave. Chicago IL 60640,UPTOWN,4701 N. Ashland Ave. Chicago IL 60640,06
The Princess Bride,Lincoln Park,2014-08-21T02:37:00Z,PG,Yes,41.928495,-87.636008,2014,Thu,2045 N Lincoln Park West Chicago IL 60614,LINCOLN PARK,2045 N Lincoln Park West Chicago IL 60614,08
Ferris Bueller's Day Off,Lincoln Park,2014-07-10T03:13:00Z,PG-13,Yes,41.928495,-87.636008,2014,Thu,2045 N Lincoln Park West Chicago IL 60614,LINCOLN PARK,2045 N Lincoln Park West Chicago IL 60614,07
Ghostbusters,Lincoln Park,2014-06-19T03:47:00Z,PG,Yes,41.928495,-87.636008,2014,Thu,2045 N Lincoln Park West Chicago IL 60614,LINCOLN PARK,2045 N Lincoln Park West Chicago IL 60614,06
Despicable Me 2,Chippewa Park,2014-08-13T02:38:00Z,PG,Yes,42.00387573,-87.7046051,2014,Wed,"6748 N Sacramento Ave Chicago, IL 60645",WEST RIDGE,"6748 N Sacramento Ave Chicago, IL 60645",08
Despicable Me 2,Nat King Cole Park,2014-07-08T03:08:00Z,PG,Yes,41.74013519,-87.61564636,2014,Tue,361 E. 85th St. Chicago IL 60619,CHATHAM,361 E. 85th St. Chicago IL 60619,07
Michael Jackson's This is It,Columbus Park,2014-06-28T03:41:00Z,PG,Yes,41.87285233,-87.76467896,2014,Sat,"500 S. Central Ave. Chicago, IL 60644",AUSTIN,"500 S. Central Ave. Chicago, IL 60644",06
Despicable Me 2,Commercial Club Playground,2014-06-13T03:38:00Z,PG,Yes,41.89686584,-87.67324829,2014,Fri,1845 W. Rice St. Chicago IL 60622,WEST TOWN,1845 W. Rice St. Chicago IL 60622,06
Mr. Peabody & Sherman,Cornell Square Park,2014-08-16T02:32:00Z,PG,Yes,41.8030777,-87.66988373,2014,Sat,"1809 W 50th St Chicago, IL 60609",NEW CITY,"1809 W 50th St Chicago, IL 60609",08
Despicable Me 2,Cragin Park,2014-08-02T02:38:00Z,PG,Yes,41.92812347,-87.75872803,2014,Sat,2611 N. Lockwood Ave. Chicago IL 60639,BELMONT CRAGIN,2611 N. Lockwood Ave. Chicago IL 60639,08
True Grit,Lincoln Park,2014-08-12T03:08:00Z,NR,Yes,41.928495,-87.636008,2014,Tue,2045 N Lincoln Park West Chicago IL 60614,LINCOLN PARK,2045 N Lincoln Park West Chicago IL 60614,08
The Triplets of Belleville,Lincoln Park,2014-07-08T02:48:00Z,PG-13,No,41.928495,-87.636008,2014,Tue,2045 N Lincoln Park West Chicago IL 60614,LINCOLN PARK,2045 N Lincoln Park West Chicago IL 60614,07
Despicable Me 2,Davis Square Park,2014-08-01T03:08:00Z,PG,Yes,41.81347275,-87.66633606,2014,Fri,4430 S. Marshfield Ave. Chicago IL 60609,NEW CITY,4430 S. Marshfield Ave. Chicago IL 60609,08
Lee Daniels' The Butler,Dawes Park,2014-08-02T03:12:00Z,PG-13,Yes,41.74732971,-87.67307281,2014,Sat,8052 S. Damen Ave. Chicago IL 60620,AUBURN GRESHAM,8052 S. Damen Ave. Chicago IL 60620,08
Willy Wonka & the Chocolate Factory,Douglas Park,2014-07-14T03:08:00Z,G,Yes,41.86323547,-87.70204926,2014,Mon,1401 S. Sacramento Dr. Chicago IL 60623,NORTH LAWNDALE,1401 S. Sacramento Dr. Chicago IL 60623,07
Hotel Transylvania,Dunbar Park,2014-07-09T03:01:00Z,PG,Yes,41.83839417,-87.62062836,2014,Wed,300 E. 31st St. Chicago IL 60616,DOUGLAS,300 E. 31st St. Chicago IL 60616,07
Lee Daniels' The Butler,Dunbar Park,2014-06-20T04:12:00Z,PG-13,Yes,41.83839417,-87.62062836,2014,Fri,300 E. 31st St. Chicago IL 60616,DOUGLAS,300 E. 31st St. Chicago IL 60616,06
Ghostbusters,Dunham Park,2014-07-12T03:17:00Z,PG,Yes,41.96598053,-87.78197479,2014,Sat,4638 N. Melvina Ave. Chicago IL 60630,PORTAGE PARK,4638 N. Melvina Ave. Chicago IL 60630,07
Twenty Feet From Stardom,Washington Park,2014-08-17T02:29:00Z,PG-13,Yes,41.79378891,-87.61591339,2014,Sun,"5531 S. Martin Luther King Dr. Chicago, IL 60637",WASHINGTON PARK,"5531 S. Martin Luther King Dr. Chicago, IL 60637",08
42,Washington Park,2014-07-20T03:38:00Z,PG-13,Yes,41.79378891,-87.61591339,2014,Sun,"5531 S. Martin Luther King Dr. Chicago, IL 60637",WASHINGTON PARK,"5531 S. Martin Luther King Dr. Chicago, IL 60637",07
Fat Albert,Washington Park,2014-06-22T03:33:00Z,PG,Yes,41.79378891,-87.61591339,2014,Sun,"5531 S. Martin Luther King Dr. Chicago, IL 60637",WASHINGTON PARK,"5531 S. Martin Luther King Dr. Chicago, IL 60637",06
Despicable Me 2,Dvorak Park,2014-06-21T03:38:00Z,PG,Yes,41.85511398,-87.65414429,2014,Sat,1119 W. Cullerton St. Chicago IL 60608,LOWER WEST SIDE,1119 W. Cullerton St. Chicago IL 60608,06
The Goonies,Eckhart Park,2014-08-11T02:51:00Z,PG,Yes,41.89619446,-87.66043091,2014,Mon,1330 W. Chicago Ave. Chicago IL 60642,WEST TOWN,1330 W. Chicago Ave. Chicago IL 60642,08
The Lego Movie,Ellis (Samuel) Park,2014-08-17T02:41:00Z,PG,Yes,41.82777786,-87.60858154,2014,Sun,535 E. 35th St. Chicago IL 60653,DOUGLAS,535 E. 35th St. Chicago IL 60653,08
Despicable Me 2,Ellis (Samuel) Park,2014-07-20T03:08:00Z,PG,Yes,41.82777786,-87.60858154,2014,Sun,535 E. 35th St. Chicago IL 60653,DOUGLAS,535 E. 35th St. Chicago IL 60653,07
Gravity,Ellis (Samuel) Park,2014-06-22T03:31:00Z,PG-13,Yes,41.82777786,-87.60858154,2014,Sun,535 E. 35th St. Chicago IL 60653,DOUGLAS,535 E. 35th St. Chicago IL 60653,06
Star Trek: Into Darkness,Emmerson Park,2014-08-27T03:09:00Z,PG-13,Yes,41.99436951,-87.67577362,2014,Wed,1820 W. Granville Ave. Chicago IL 60660,WEST RIDGE,1820 W. Granville Ave. Chicago IL 60660,08
Despicable Me 2,Emmerson Park,2014-07-14T03:08:00Z,PG,Yes,41.99436951,-87.67577362,2014,Mon,1820 W. Granville Ave. Chicago IL 60660,WEST RIDGE,1820 W. Granville Ave. Chicago IL 60660,07
Despicable Me 2,Eugene Field Park,2014-07-12T03:08:00Z,PG,Yes,41.97400665,-87.72206116,2014,Sat,5100 N. Ridgeway Ave. Chicago IL 60625,NORTH PARK,5100 N. Ridgeway Ave. Chicago IL 60625,07
Mandela: Long Walk to Freedom,Fosco Park,2014-07-19T03:56:00Z,PG-13,Yes,41.86500168,-87.6566391,2014,Sat,"1312 S. Racine Ave, Chicago IL 60608",NEAR WEST SIDE,"1312 S. Racine Ave, Chicago IL 60608",07
The Hunger Games: Catching Fire,Franklin Park,2014-08-09T03:26:00Z,PG-13,Yes,41.86061478,-87.73335266,2014,Sat,4320 W. 15th St. Chicago IL 60623,NORTH LAWNDALE,4320 W. 15th St. Chicago IL 60623,08
Despicable Me 2,Fuller Park,2014-07-25T03:08:00Z,PG,Yes,41.81225204,-87.63460541,2014,Fri,331 W. 45th St Chicago IL 60609,FULLER PARK,331 W. 45th St Chicago IL 60609,07
Fast & Furious 6,Park No. 551,2014-08-20T03:10:00Z,PG-13,Yes,41.88835526,-87.64409637,2014,Wed,353 N. DesPlaines St. Chicago IL 60611,NEAR WEST SIDE,353 N. DesPlaines St. Chicago IL 60611,08
Sixteen Candles,Park No. 551,2014-07-22T03:03:00Z,PG-13,No,41.88835526,-87.64409637,2014,Tue,353 N. DesPlaines St. Chicago IL 60611,NEAR WEST SIDE,353 N. DesPlaines St. Chicago IL 60611,07
Gravity,Park No. 551,2014-06-25T03:31:00Z,PG-13,Yes,41.88835526,-87.64409637,2014,Wed,353 N. DesPlaines St. Chicago IL 60611,NEAR WEST SIDE,353 N. DesPlaines St. Chicago IL 60611,06
The Hunger Games: Catching Fire,Galewood Park,2014-07-26T03:56:00Z,PG-13,Yes,41.91244507,-87.76873779,2014,Sat,5729 W. Bloomingdale Ave. Chicago IL 60639,AUSTIN,5729 W. Bloomingdale Ave. Chicago IL 60639,07
Man of Steel,Golden Gate Park,2014-08-23T03:28:00Z,PG-13,Yes,41.65910339,-87.61064911,2014,Sat,13000 S. Eberhart Ave. Chicago IL 60627,RIVERDALE,13000 S. Eberhart Ave. Chicago IL 60627,08
Cloudy with a Chance of Meatballs 2,Gompers Park,2014-07-09T03:04:00Z,PG,Yes,41.97549438,-87.73486328,2014,Wed,4222 W. Foster Ave. Chicago IL 60630,NORTH PARK,4222 W. Foster Ave. Chicago IL 60630,07
Lee Daniels' The Butler,Grand Crossing Park,2014-08-06T03:12:00Z,PG-13,Yes,41.75580215,-87.60163116,2014,Wed,7655 S. Ingleside Ave. Chicago IL 60619,GREATER GRAND CROSSING,7655 S. Ingleside Ave. Chicago IL 60619,08
Indiana Jones and the Temple of Doom,Grant Park,2014-08-26T02:58:00Z,PG,No,41.88437653,-87.61938477,2014,Tue,"337 E. Randolph St. Chicago, IL 60602",LOOP,"337 E. Randolph St. Chicago, IL 60602",08
High Anxiety,Grant Park,2014-06-24T03:34:00Z,PG,No,41.88437653,-87.61938477,2014,Tue,"337 E. Randolph St. Chicago, IL 60602",LOOP,"337 E. Randolph St. Chicago, IL 60602",06
The Lego Movie,Graver Park,2014-08-15T02:41:00Z,PG,Yes,41.70744705,-87.66044617,2014,Fri,1518 W. 102nd Pl. Chicago IL 60643,BEVERLY,1518 W. 102nd Pl. Chicago IL 60643,08
Man of Steel,Gross Park,2014-07-06T03:58:00Z,PG-13,Yes,41.96857834,-87.6966095,2014,Sun,2708 W. Lawrence Ave. Chicago IL 60625,LINCOLN SQUARE,2708 W. Lawrence Ave. Chicago IL 60625,07
On the Waterfront,Gross Park,2014-06-15T03:48:00Z,NR,Yes,41.96857834,-87.6966095,2014,Sun,2708 W. Lawrence Ave. Chicago IL 60625,LINCOLN SQUARE,2708 W. Lawrence Ave. Chicago IL 60625,06
Cloudy with a Chance of Meatballs 2,Haas Park,2014-06-28T03:34:00Z,PG,Yes,41.92488861,-87.69497681,2014,Sat,2402 N. Washtenaw Ave. Chicago IL 60647,LOGAN SQUARE,2402 N. Washtenaw Ave. Chicago IL 60647,06
The Help,Hamilton Park,2014-08-25T03:26:00Z,PG-13,Yes,41.76344299,-87.63769531,2014,Mon,513 W. 72nd St. Chicago IL 60621,ENGLEWOOD,513 W. 72nd St. Chicago IL 60621,08
Despicable Me 2,Hamlin Park,2014-08-15T02:38:00Z,PG,Yes,41.93654251,-87.68065643,2014,Fri,3035 N. Hoyne Ave. Chicago IL 60618,NORTH CENTER,3035 N. Hoyne Ave. Chicago IL 60618,08
Cloudy With a Chance of Meatballs 2,Harris Park,2014-08-09T02:34:00Z,PG,Yes,41.78224182,-87.6043396,2014,Sat,6200 S. Drexel Ave. Chicago IL 60637,WOODLAWN,6200 S. Drexel Ave. Chicago IL 60637,08
Latino Film Festival Selection,Harrison Park,2014-08-14T03:00:00Z,NR,No,41.85699081,-87.67106628,2014,Thu,1824 S. Wood St. Chicago IL 60608,LOWER WEST SIDE,1824 S. Wood St. Chicago IL 60608,08
The Benchwarmers,Humboldt Park,2014-08-23T02:20:00Z,PG-13,Yes,41.90572739,-87.7037735,2014,Sat,"1440 N Humboldt Dr Chicago, IL 60622",WEST TOWN,"1440 N Humboldt Dr Chicago, IL 60622",08
Latino Film Festival Selection,Harrison Park,2014-06-19T03:30:00Z,NR,No,41.85699081,-87.67106628,2014,Thu,1824 S. Wood St. Chicago IL 60608,LOWER WEST SIDE,1824 S. Wood St. Chicago IL 60608,06
